RCP_NM,rcp_parts_dtls_cleaned
떡완자조림,"다진 쇠고기 다진 돼지고기 매실액 맛술 
양파 당근 새송이버섯 마늘 파 
떡볶이떡 식용유 저염간장 올리고당 
참기름 후춧가루 통깨"
닭고기채소스파게티,"닭고기살 후춧가루 스파게티 올리브유 
브로컬리 양송이 표고버섯 파프리카 
당근 양파 다진마늘 토마토 
토마토페스트 토마토 스 케첩 
생크림"
계만두,"
녹말가루 닭가슴살 마늘 파 삶은 메추리알 
 후춧가루 
빠금장 스 빠금장 휘핑크림 우유 
다진 청양고추 후춧가루 참깨"
삼계선,"
블루베리 스 블루베리잼 화이트와인 설탕"
쇠고기표고찜,"
 추 단호박 피클 
 다진 쇠고기 다진 파 다진 마늘 
다진 양파 다진 파프리카 으깬 두부 
오렌지 스 오렌지주스 유자청"
떡갈비찜,"
가래떡 유자청 간장 연근 
고기 다진 파 다진 마늘 다진 양파 
 금 후춧가루 참기름"
해산물두부샌드,"
완두콩 삶은 완두콩 두유 꿀 검은깨"
단호박제육볶음,"
양파 파 마른 표고버섯 
 고춧가루 
된장 된장 물 
 참기름"
버섯콩불고기,"
느타리버섯 표고버섯 새송이버섯 
부추 미나리 청양고추 
 배 
다진 양파 매실액 참기름 
 생강"
차돌박이볶음,"
 스 발사믹식초 매실청 올리브유 
 스 마요네즈 연겨자 
 스 유자청 식초 
고기 설탕 후춧가루 저염 간장 배 양파 
해초 설탕 식초"
토마토오리볶음,"
 고기 후춧가루 맛술 다진마늘 
 토마토고추장 스 토마토 양파 풋고추 다진마늘 고추장 물엿"
토마토두루치기,"
파프리카 피망 파 마늘 토마토 
비트 식용유 돼지고기 
 간장 
생강 고추장 물엿"
검은콩피시볼조림,"피시볼 죽 검은콩 쪽파 동태포 감자전분 
밀가루 청양고추 달걀흰자 
 스 마늘 녹말가루 가다랑어장국 간장 
물 유자청 파"
대하조림,"
매실액 아보카도 토마토 
닭 닭다리 월계수잎 물"
묵은지가지말이,"
양파 강 마늘 올리브유 레몬 
레드와인 올리고당 
 
마늘 강 물"
함초타락죽,"찹쌀 우유 함초 크렌베리 
다진양파 파마산치즈"
황태두부무국,"황태 두부 함초 무 청고추 홍고추 
쪽파 흰후추 어간장 파뿌리"
삼합잡채,"주꾸미 바지락살 고기 닭가슴살 양파 
청고추 홍고추 당근 미나리 
"
고등어카레탕수,"냉동고등어 전분가루 식용유 우유 카레가루 
감자 애호박 방울토마토 양파 사과 꿀"
효도강정,"볶은현미 볶은율무 볶은수수 혼합견과 흑임자 
 스 올리고당 설탕 기름"
비트양파김치,"양파 
절임물 물 볶은 금 식초 비트 
국물 절임물 강청 식초 청양고추"
관자브로콜리스프,"관자 양파 브로콜리 시금치 크림 우유 
버터 파마산가루 다진마늘 흰후추 마늘칩"
곤약잡채,"
 스 맛간장 흑설탕 다진마늘 다진 파 흰후추 
 레몬즙"
미역 닭가슴살전,"닭가슴살 미역 두부 청양고추 파 당근 계란 
 스 저염간장 식초 레몬즙 고추냉이 통깨"
